Codice Provincia (Storico)(1);Progressivo del Comune (2);Denominazione in italiano
001;001;Agliè;Torino
001;002;Airasca;Torino
001;003;Ala di Stura;Torino
001;004;Albiano d`Ivrea;Torino
001;006;Almese;Torino
001;007;Alpette;Torino
001;008;Alpignano;Torino
001;009;Andezeno;Torino
001;010;Andrate;Torino
001;011;Angrogna;Torino
001;012;Arignano;Torino
001;013;Avigliana;Torino
001;014;Azeglio;Torino
001;015;Bairo;Torino
001;016;Balangero;Torino
001;017;Baldissero Canavese;Torino
001;018;Baldissero Torinese;Torino
001;019;Balme;Torino
001;020;Banchette;Torino
001;021;Barbania;Torino
001;022;Bardonecchia;Torino
001;023;Barone Canavese;Torino
001;024;Beinasco;Torino
001;025;Bibiana;Torino
001;026;Bobbio Pellice;Torino
001;027;Bollengo;Torino
001;028;Borgaro Torinese;Torino
001;029;Borgiallo;Torino
001;030;Borgofranco d`Ivrea;Torino
001;031;Borgomasino;Torino
001;032;Borgone Susa;Torino
001;033;Bosconero;Torino
001;034;Brandizzo;Torino
001;035;Bricherasio;Torino
001;036;Brosso;Torino
001;037;Brozolo;Torino
001;038;Bruino;Torino
001;039;Brusasco;Torino
001;040;Bruzolo;Torino
001;041;Buriasco;Torino
001;042;Burolo;Torino
001;043;Busano;Torino
001;044;Bussoleno;Torino
001;045;Buttigliera Alta;Torino
001;046;Cafasse;Torino
001;047;Caluso;Torino
001;048;Cambiano;Torino
001;049;Campiglione Fenile;Torino
001;050;Candia Canavese;Torino
001;051;Candiolo;Torino
001;052;Canischio;Torino
001;053;Cantalupa;Torino
001;054;Cantoira;Torino
001;055;Caprie;Torino
001;056;Caravino;Torino
001;057;Carema;Torino
001;058;Carignano;Torino
001;059;Carmagnola;Torino
001;060;Casalborgone;Torino
001;061;Cascinette d`Ivrea;Torino
001;062;Caselette;Torino
001;063;Caselle Torinese;Torino
001;064;Castagneto Po;Torino
001;065;Castagnole Piemonte;Torino
001;066;Castellamonte;Torino
001;067;Castelnuovo Nigra;Torino
001;068;Castiglione Torinese;Torino
001;069;Cavagnolo;Torino
001;070;Cavour;Torino
001;071;Cercenasco;Torino
001;072;Ceres;Torino
001;073;Ceresole Reale;Torino
001;074;Cesana Torinese;Torino
001;075;Chialamberto;Torino
001;076;Chianocco;Torino
001;077;Chiaverano;Torino
001;078;Chieri;Torino
001;079;Chiesanuova;Torino
001;080;Chiomonte;Torino
001;081;Chiusa di San Michele;Torino
001;082;Chivasso;Torino
001;083;Ciconio;Torino
001;084;Cintano;Torino
001;085;Cinzano;Torino
001;086;Ciriè;Torino
001;087;Claviere;Torino
001;088;Coassolo Torinese;Torino
001;089;Coazze;Torino
001;090;Collegno;Torino
001;091;Colleretto Castelnuovo;Torino
001;092;Colleretto Giacosa;Torino
001;093;Condove;Torino
001;094;Corio;Torino
001;095;Cossano Canavese;Torino
001;096;Cuceglio;Torino
001;097;Cumiana;Torino
001;098;Cuorgnè;Torino
001;099;Druento;Torino
001;100;Exilles;Torino
001;101;Favria;Torino
001;102;Feletto;Torino
001;103;Fenestrelle;Torino
001;104;Fiano;Torino
001;105;Fiorano Canavese;Torino
001;106;Foglizzo;Torino
001;107;Forno Canavese;Torino
001;108;Frassinetto;Torino
001;109;Front;Torino
001;110;Frossasco;Torino
001;111;Garzigliana;Torino
001;112;Gassino Torinese;Torino
001;113;Germagnano;Torino
001;114;Giaglione;Torino
001;115;Giaveno;Torino
001;116;Givoletto;Torino
001;117;Gravere;Torino
001;118;Groscavallo;Torino
001;119;Grosso;Torino
001;120;Grugliasco;Torino
001;121;Ingria;Torino
001;122;Inverso Pinasca;Torino
001;123;Isolabella;Torino
001;124;Issiglio;Torino
001;125;Ivrea;Torino
001;126;La Cassa;Torino
001;127;La Loggia;Torino
001;128;Lanzo Torinese;Torino
001;129;Lauriano;Torino
001;130;Leini;Torino
001;131;Lemie;Torino
001;132;Lessolo;Torino
001;133;Levone;Torino
001;134;Locana;Torino
001;135;Lombardore;Torino
001;136;Lombriasco;Torino
001;137;Loranzè;Torino
001;139;Luserna San Giovanni;Torino
001;140;Lusernetta;Torino
001;141;Lusigliè;Torino
001;142;Macello;Torino
001;143;Maglione;Torino
001;144;Marentino;Torino
001;145;Massello;Torino
001;146;Mathi;Torino
001;147;Mattie;Torino
001;148;Mazzè;Torino
001;149;Meana di Susa;Torino
001;150;Mercenasco;Torino
001;152;Mezzenile;Torino
